PD,Cand_Rap,Cand_Pt,Model_Psi2SToMuMuOS_PA8Y16
DIMUON,1.4-2.4,6.5-9.0,DoubleCrystalBall[Psi2S]
DIMUON,1.4-2.4,6.5-9.0,SingleExtCrystalBall[Psi2S]
DIMUON,1.4-2.4,6.5-9.0,GaussianAndExtCrystalBall[Psi2S]
DIMUON,1.4-2.4,6.5-9.0,DoubleExtCrystalBall[Psi2S]
DIMUON,1.4-2.4,6.5-9.0,SingleModExtCrystalBall[Psi2S]
DIMUON,1.4-2.4,6.5-9.0,GaussianAndModExtCrystalBall[Psi2S]
DIMUON,1.4-2.4,6.5-9.0,DoubleModExtCrystalBall[Psi2S]

DIMUON,1.4-2.4,9.0-100.0,SingleGaussian[Psi2S]
DIMUON,1.4-2.4,9.0-100.0,DoubleGaussian[Psi2S]
DIMUON,1.4-2.4,9.0-100.0,SingleCrystalBall[Psi2S]
DIMUON,1.4-2.4,9.0-100.0,GaussianAndCrystalBall[Psi2S]
DIMUON,1.4-2.4,9.0-100.0,DoubleCrystalBall[Psi2S]
DIMUON,1.4-2.4,9.0-100.0,SingleExtCrystalBall[Psi2S]
DIMUON,1.4-2.4,9.0-100.0,GaussianAndExtCrystalBall[Psi2S]
DIMUON,1.4-2.4,9.0-100.0,DoubleExtCrystalBall[Psi2S]
DIMUON,1.4-2.4,9.0-100.0,SingleModExtCrystalBall[Psi2S]
DIMUON,1.4-2.4,9.0-100.0,GaussianAndModExtCrystalBall[Psi2S]
DIMUON,1.4-2.4,9.0-100.0,DoubleModExtCrystalBall[Psi2S]
